politician_id,name,party,occupation,year_of_birth,field_title,sex,education
175892,Yannick Bury,CDU/CSU,MdB,1990.0,,m,Master of Science VWL
175543,Chantal Kopf,BÜNDNIS 90/­DIE GRÜNEN,MdB,1995.0,,f,M.A. in Politikwissenschaft
175863,Klaus Mack,CDU/CSU,MdB,1973.0,,m,Diplom Verwaltungswirt (FH)
79226,Gunther Krichbaum,CDU/CSU,MdB,1964.0,,m,Jurist
79336,Olav Gutting,CDU/CSU,MdB,1970.0,,m,Rechtsanwalt
165004,Moritz Oppelt,CDU/CSU,MdB,1989.0,,m,Volljurist
78805,Nina Warken,CDU/CSU,MdB,1979.0,,f,Rechtsanwältin
175436,Isabel Cademartori,SPD,MdB,1988.0,,f,B.Sc. Betriebswirtschaftslehre & M.Sc. Wirtschaftspädagogik
79429,Franziska Brantner,BÜNDNIS 90/­DIE GRÜNEN,MdB,1979.0,Dr.,f,Promotion Politik
78817,Kai Whittaker,CDU/CSU,MdB,1985.0,,m,
175876,Nicolas Zippelius,CDU/CSU,MdB,1987.0,,m,Bachelor Politik- und Rechtswissenschaften
175679,Zoe Mayer,BÜNDNIS 90/­DIE GRÜNEN,MdB,1995.0,Dr.,f,Doktorin der Ingenieurwissenschaften
79246,Roderich Kiesewetter,CDU/CSU,MdB,1963.0,,m,Oberst a.D./ Dipl. Kaufmann
28896,Inge Gräßle,CDU/CSU,MdB,1961.0,Dr.,f,"Studium der Romanischen Sprachen, Geschichte und Politikwissenschaft"
78939,Christian von Stetten,CDU/CSU,MdB,1970.0,,m,selbstständiger Kaufmann
79389,Hermann Färber,CDU/CSU,MdB,1963.0,,m,Landwirt
79343,Markus Grübel,CDU/CSU,"MdB, Beauftragter der Bundesregierung für weltweite Religionsfreiheit",1959.0,,m,Notar
79102,Cem Özdemir,BÜNDNIS 90/­DIE GRÜNEN,"Bundesminister für Ernährung und Landwirtschaft sowie Bildung, MdB",1965.0,,m,"Erzieher, Studium der Sozialpädagogik"
78976,Stephan Stracke,CDU/CSU,MdB,1974.0,,m,Volljurist
133683,Mechthilde Wittmann,CDU/CSU,MdB,1967.0,,f,"Bankkauffrau, Studium BWL, Jura und Maschinenbau"
175826,Alexander Engelhard,CDU/CSU,MdB,1972.0,,m,"Müller, Dipl.-Wirtschaftsingenieur"
79214,Ulrich Lange,CDU/CSU,MdB,1969.0,,m,Rechtsanwalt
79404,Hansjörg Durz,CDU/CSU,MdB,1971.0,,m,Dipl. Kaufmann
79295,Alexander Hoffmann,CDU/CSU,MdB,1975.0,,m,Rechtsanwalt
79192,Andrea Lindholz,CDU/CSU,MdB,1970.0,,f,Rechtsanwältin
175880,Ralph Edelhäußer,CDU/CSU,MdB,1973.0,,m,
79370,Michael Frieser,CDU/CSU,MdB,1964.0,,m,Rechtswissenschaften
145904,Sebastian Brehm,CDU/CSU,MdB,1971.0,,m,Dipl. Kaufmann
142259,Tobias Winkler,CDU/CSU,MdB,1978.0,,m,Dipl. sc. pol. Univ.
78810,Artur Auernhammer,CDU/CSU,MdB,1963.0,,m,Landwirtschaftsmeister
78904,Emmi Zeulner,CDU/CSU,MdB,1987.0,,f,Examinierte Gesundheits- und Krankenpflegerin
79369,Hans-Peter Friedrich,CDU/CSU,MdB,1957.0,,m,Studium der Rechtswissenschaften
78812,Silke Launert,CDU/CSU,MdB,1976.0,Dr.,f,Juristin
78831,Thomas Silberhorn,CDU/CSU,MdB,1968.0,,m,Rechtsanwalt
175872,Martina Englhardt-Kopf,CDU/CSU,MdB,1981.0,,f,Dipl.-Handelslehrerin
120442,Peter Aumer,CDU/CSU,MdB,1976.0,,m,Master of Buisness Administration
142212,Susanne Hierl,CDU/CSU,MdB,1973.0,,f,Rechtsanwältin
78974,Max Straubinger,CDU/CSU,MdB,1954.0,,m,Landwirtschaftsmeister
79108,Florian Oßner,CDU/CSU,MdB,1980.0,,m,Diplom-Volkswirt (Uni)
79412,Alexander Dobrindt,CDU/CSU,MdB,1970.0,,m,Diplom-Soziologe
79068,Peter Ramsauer,CDU/CSU,MdB,1954.0,,m,Diplomkaufmann
145902,Michael Kießling,CDU/CSU,MdB,1973.0,,m,Dipl. Bauingenier (FH)
79146,Daniela Ludwig,CDU/CSU,MdB,1975.0,,f,Diplom-Juristin Univ
79427,Reinhard Brandl,CDU/CSU,MdB,1977.0,Dr.,m,Dipl. Wirtschaftsingenieur
145898,Katrin Staffler,CDU/CSU,MdB,1981.0,,f,Biochemikerin M.Sc.
79274,Erich Irlstorfer,CDU/CSU,Kaufmännischer Angestellter,1970.0,,m,Bürokaufmann
79194,Andreas Lenz,CDU/CSU,MdB,1981.0,Dr.,m,Diplom-Betriebswirt
79134,Stephan Mayer,CDU/CSU,MdB,1973.0,,m,Rechtsanwalt
78864,Thomas Hitschler,SPD,MdB,1982.0,,m,Politikwissenschaftler
79481,Angelika Glöckner,SPD,MdB,1962.0,,f,Verwaltungsfachwirtin
175471,Matthias Mieves,SPD,MdB,1985.0,,m,Dipl.-Kaufmann
78797,Johannes Steiniger,CDU/CSU,MdB,1987.0,,m,Gymnasiallehrer
175412,Christian Schreider,SPD,MdB,1971.0,,m,Jurist
78847,Jan Metzler,CDU/CSU,MdB,1981.0,,m,Dipl. Betriebswirt (FH) und MA International Management
175416,Daniel Baldy,SPD,,1994.0,,m,Lehrer für Gymnasien
110102,Tanja Machalet,SPD,MdB,1974.0,Dr.,f,Dipl. Volkswirtin
175512,Verena Hubertz,SPD,MdB,1987.0,,f,Studium der Betriebswirtschaftlehre
78836,Patrick Schnieder,CDU/CSU,MdB,1968.0,,m,Jurist
146835,Joe Weingarten,SPD,MdB,1962.0,Dr.,m,"Diplom-Verwaltungswissenschaftler, Ministerialdirigent"
175870,Marlon Bröhr,CDU/CSU,Landrat des Rhein-Hunsrück-Kreises,1974.0,Dr.,m,Zahnarzt
145890,Josef Oster,CDU/CSU,MdB,1971.0,,m,Diplom-Verwaltungswirt (FH)
79317,Mechthild Heil,CDU/CSU,MdB,1961.0,,f,Dipl. Ingenieurin
